"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-08","Aug-1957","IDX","Index","0","Units",,,98.2243,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-09","Sep-1957","IDX","Index","0","Units",,,97.98959,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-10","Oct-1957","IDX","Index","0","Units",,,97.4633,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-11","Nov-1957","IDX","Index","0","Units",,,96.89209,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-12","Dec-1957","IDX","Index","0","Units",,,96.32412,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-01","Jan-1958","IDX","Index","0","Units",,,96.02335,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-02","Feb-1958","IDX","Index","0","Units",,,96.23002,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-03","Mar-1958","IDX","Index","0","Units",,,96.69883,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-04","Apr-1958","IDX","Index","0","Units",,,97.34458,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-05","May-1958","IDX","Index","0","Units",,,98.35654,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-06","Jun-1958","IDX","Index","0","Units",,,99.39563,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-07","Jul-1958","IDX","Index","0","Units",,,100.2648,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-08","Aug-1958","IDX","Index","0","Units",,,100.9462,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-09","Sep-1958","IDX","Index","0","Units",,,101.4729,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-10","Oct-1958","IDX","Index","0","Units",,,101.8296,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-11","Nov-1958","IDX","Index","0","Units",,,101.9875,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-12","Dec-1958","IDX","Index","0","Units",,,102.1083,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-01","Jan-1959","IDX","Index","0","Units",,,102.4753,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-02","Feb-1959","IDX","Index","0","Units",,,102.88,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-03","Mar-1959","IDX","Index","0","Units",,,103.1292,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-04","Apr-1959","IDX","Index","0","Units",,,103.2015,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1959-05","May-1959","IDX","Index","0","Units",,,103.0426,,
